Tweet_ID,id,Sentiment_Label,Created_at,location,followers_count,Original_tweet,User_id,Content,Retweet_count,Tweet_ID__1,Year,Month,Tweets_Clean
1289351271363694592,17,negative,2020-08-01 00:04:32+00:00,United States of Gods America,784.0,0.0,34817173.0,"The teen (im gonna get hell for this) probably had some underlying condition...like grossly obese....or maybe he got hit by a falling lamop during a earthquake after dodging a meteor while balancing on a bridge ovr looking PedoWood...but had the #Rona 
Sooo that counts https://t.co/qIRXK8h3Ni",0,1289351271363694592,2020,8,teen go get hell thi probabl underli condit like grossli obes mayb get hit fall lamop dure earthquak dodg meteor balanc bridg ovr look pedowood rona sooo count
1289353890442272768,18,positive,2020-08-01 00:14:57+00:00,,2295.0,1.2890097799066665e+18,81040137.0,I can’t wait till he recommends we all wear earplugs to keep the #Rona 🐜 out of our eustachian tubes👂🏻🙂 because then it will be so much easier to just tune him out altogether https://t.co/QYgEZnCcny,257,1289353890442272768,2020,8,wait till recommend wear earplug keep rona eustachian tube becaus much easier tune altogeth
1289350127497314308,21,negative,2020-08-01 00:00:00+00:00,,3498.0,0.0,306888172.0,"I'm sneakily watching the fighting game publisher round table at my dad's birthday bbq but honestly I don't expect much aside from ""ugh covid 19 really hurt local fighting game tournaments but shikatanai nothing we can do""",0,1289350127497314308,2020,8,sneakili watch fight game publish round tabl dad birthday bbq honestli expect much asid ugh nineteen realli hurt local fight game tournament shikatanai noth
1289350127518232576,23,neutral,2020-08-01 00:00:00+00:00,"Newport Beach, CA",2074.0,0.0,3131353929.0,"There are few things people want me to opine on more than what I think will happen to the market in light of all the COVID and economic uncertainty, and what I think about big tech in light of its persistent popularity and performance.  #investing https://t.co/QRASzyK8zd",0,1289350127518232576,2020,8,thing peopl want opin think happen market light econom uncertainti think big tech light persist popular perform invest
1289350127723794432,24,negative,2020-08-01 00:00:00+00:00,"South Bend, IN",78.0,1.289337573513605e+18,1247750384.0,Let’s not mince words on this one: Americans are dead because the Trump administration wanted to use this pandemic for political gain. https://t.co/YM8CSuF43x,23270,1289350127723794432,2020,8,let minc word thi one american dead becaus trump administr want use thi pandem polit gain
1289350127845400576,26,neutral,2020-08-01 00:00:00+00:00,N.Y. U.S.A. ,18244.0,0.0,2279225400.0,"4 takeaways from House hearing on coronavirus response with Fauci, Redfield and Giroir https://t.co/cA0YOqzg7d",1,1289350127845400576,2020,8,four takeaway hous hear coronaviru respons fauci redfield giroir
1289350127870599168,27,neutral,2020-08-01 00:00:00+00:00,,151.0,1.2891921515411415e+18,2508485209.0,"Congressional hearings on Covid open up with Chair Clyburn citing the Vanity Fair article about Jared and Trump decided not to move forward with a national testing plan because the early outbreaks were in blue states.

They should face crimes against humanity when this is over.",8425,1289350127870599168,2020,8,congression hear open chair clyburn cite vaniti fair articl jare trump decid move forward nation test plan becaus earli outbreak blue state face crime human thi
1289350127879036931,28,negative,2020-08-01 00:00:00+00:00,"Arkansas, USA and Namibia ",121.0,1.2892652579494543e+18,183062793.0,"The fake news media doesn't want you to see this clip, so let's drive them crazy and make it go viral!!! https://t.co/nKtoOQxxcY",31060,1289350127879036931,2020,8,fake news media doe want see thi clip let drive crazi make go viral
1289350127988047873,30,negative,2020-08-01 00:00:00+00:00,"Washington, DC",484.0,1.2890503051166802e+18,65725561.0,"I cry as an epidemiologist for Herman Cain—because he believed this all the way until he was infected. We should not have schadenfreude. I just cry for all the people we lost because they didn’t hear our alarms, and didn’t believe in science. RIP. #COVID19 https://t.co/ibbL8XWrN6",1605,1289350127988047873,2020,8,cri epidemiologist herman cain becaus believ thi way wa infect schadenfreud cri peopl lose becaus hear alarm believ scienc rip covid19
1289350129850277891,32,negative,2020-08-01 00:00:00+00:00,,2278.0,0.0,43500616.0,Removing germs through handwashing therefore helps prevent diarrhea and respiratory infections and may even help prevent skin and eye infections. #HandHygiene #WashYourHands #PatientSafety #Covid19 https://t.co/hS4EZzrgUZ,0,1289350129850277891,2020,8,remov germ handwash therefor help prevent diarrhea respiratori infect may even help prevent skin eye infect handhygien washyourhand patientsafeti covid19
